rowNames	Gene
21887	AL035409.1
21891	ST6GALNAC5
21891	AL035409.1
21892	AL035409.1
21900	AL035409.1
21913	ST6GALNAC5
21913	AL035409.1
21995	USP33
22089	FUBP1
22112	DNAJB4
22201	ADGRL4
22284	LINC01781
22358	ADGRL2
22359	ADGRL2
22362	ADGRL2
22666	LINC01725
22669	LINC01725
22678	AC116099.1
22689	LINC01725
22700	LINC01725
22701	LINC01725
22704	LINC01725
22791	UOX
22801	RPF1
22896	SPATA1
22966	MCOLN3
23306	SH3GLB1
23677	ELOCP19
23709	RBMXL1
23716	AC099063.4
23719	ELOCP19
23730	ELOCP19
23739	ELOCP19
23769	AC099063.4
23779	GBP6
23780	AL596214.1
23782	AL596214.1
23785	AL596214.1
23787	AL596214.1
23954	LRRC8D
24201	HFM1
24222	HFM1
24445	GFI1
24461	GFI1
24470	GFI1
24747	AL049796.1
24770	BCAR3
24830	ABCA4
24906	ARHGAP29
24934	ABCA4
24936	ABCA4
24939	ABCA4
24940	ABCA4
25078	F3
25163	SLC44A3-AS1
25228	CNN3
25620	DPYD
25696	SNX7
25777	AGL
25850	AL445928.2
25933	CDC14A
26060	EXTL2
26060	AL109741.1
26203	OLFM3
26279	COL11A1
26281	COL11A1
26602	VAV3
26606	VAV3
26613	VAV3
26634	VAV3
26643	VAV3
26648	VAV3
26651	VAV3
26652	VAV3
26667	VAV3
26669	VAV3
26736	VAV3-AS1
26848	GPSM2
26871	AL356488.3
26947	AL356488.3
27004	GPR61
27060	PSMA5
27081	MYBPHL
27081	GPR61
27087	PSRC1
27090	GPR61
27098	MYBPHL
27098	GPR61
27098	GSTM2
27099	GPR61
27099	GSTM2
27100	GPR61
27100	GSTM2
27102	GPR61
27122	AMIGO1
27122	AMPD2
27153	GSTM1
27155	GSTM1
27165	GSTM4
27165	GSTM2
27165	GSTM3
27167	GSTM4
27167	GSTM2
27167	GSTM3
27170	GSTM4
27212	AL160006.1
27216	GSTM2
27406	SLC16A4
27407	SLC16A4
27424	LAMTOR5-AS1
27424	AL355488.1
27475	KCNA2
27475	AL365361.1
27475	KCNA3
27476	KCNA2
